"precinct","candidate","votes"
"22-001","Josh Bokee (10072072.0001150)",305
"22-001","Veronica D. Lowe (10072072.0002200)",214
"22-001","or write-in:",64
"22-001","overvote",1
"22-001","undervote",386
"22-001",NA,127
"23-001","Chad King Wilson, Sr. (10072072.0001530)",348
"23-001","Colt Morningstar Black (10072072.0001100)",472
"23-001","Jaime Kiersten Brennan (10072072.0001390)",512
"23-001","Janie Monier (10072072.0001460)",367
"23-001","Josh Bokee (10072072.0001150)",346
"23-001","Veronica D. Lowe (10072072.0002200)",269
"23-001","or write-in:",42
"23-001","overvote",1
"23-001","undervote",494
"23-001",NA,190
"23-002","Chad King Wilson, Sr. (10072072.0001530)",5
"23-002","Colt Morningstar Black (10072072.0001100)",5
"23-002","Jaime Kiersten Brennan (10072072.0001390)",5
"23-002","Janie Monier (10072072.0001460)",9
"23-002","Josh Bokee (10072072.0001150)",6
"23-002","Veronica D. Lowe (10072072.0002200)",8
"23-002","or write-in:",1
"23-002","undervote",12
"23-005","Chad King Wilson, Sr. (10072072.0001530)",1006
"23-005","Colt Morningstar Black (10072072.0001100)",855
"23-005","Jaime Kiersten Brennan (10072072.0001390)",982
"23-005","Janie Monier (10072072.0001460)",1080
"23-005","Josh Bokee (10072072.0001150)",1044
"23-005","Veronica D. Lowe (10072072.0002200)",1113
"23-005","or write-in:",74
"23-005","overvote",5
"23-005","undervote",1353
"23-005",NA,282
"24-001","Chad King Wilson, Sr. (10072072.0001530)",731
"24-001","Colt Morningstar Black (10072072.0001100)",702
"24-001","Jaime Kiersten Brennan (10072072.0001390)",705
"24-001","Janie Monier (10072072.0001460)",788
"24-001","Josh Bokee (10072072.0001150)",727
"24-001","Veronica D. Lowe (10072072.0002200)",433
"24-001","or write-in:",78
"24-001","undervote",788
"24-001",NA,299
"24-002","Chad King Wilson, Sr. (10072072.0001530)",625
"24-002","Colt Morningstar Black (10072072.0001100)",538
"24-002","Jaime Kiersten Brennan (10072072.0001390)",633
"24-002","Janie Monier (10072072.0001460)",675
"24-002","Josh Bokee (10072072.0001150)",633
"24-002","Veronica D. Lowe (10072072.0002200)",613
"24-002","or write-in:",39
"24-002","overvote",4
"24-002","undervote",678
"24-002",NA,189
"25-001","Chad King Wilson, Sr. (10072072.0001530)",903
"25-001","Colt Morningstar Black (10072072.0001100)",958
"25-001","Jaime Kiersten Brennan (10072072.0001390)",976
"25-001","Janie Monier (10072072.0001460)",1026
"25-001","Josh Bokee (10072072.0001150)",930
"25-001","Veronica D. Lowe (10072072.0002200)",811
"25-001","or write-in:",36
"25-001","overvote",3
"25-001","undervote",1167
"25-001",NA,363
"26-001","Chad King Wilson, Sr. (10072072.0001530)",960
"26-001","Colt Morningstar Black (10072072.0001100)",1250
"26-001","Jaime Kiersten Brennan (10072072.0001390)",1237
"26-001","Janie Monier (10072072.0001460)",1070
"26-001","Josh Bokee (10072072.0001150)",1048
"26-001","Veronica D. Lowe (10072072.0002200)",734
"26-001","or write-in:",65
"26-001","overvote",3
"26-001","undervote",1169
"26-001",NA,483
"26-002","Chad King Wilson, Sr. (10072072.0001530)",728
"26-002","Colt Morningstar Black (10072072.0001100)",990
"26-002","Jaime Kiersten Brennan (10072072.0001390)",999
"26-002","Janie Monier (10072072.0001460)",770
"26-002","Josh Bokee (10072072.0001150)",758
"26-002","Veronica D. Lowe (10072072.0002200)",577
"26-002","or write-in:",83
"26-002","overvote",2
"26-002","undervote",861
"26-002",NA,406
