created_user,created_date,last_edited_user,last_edited_date,OBJECTID,ED_NUM,ED_NAME,PRECINCT,LEGIS_DIST,POLL_NAME,POLL_TYPE,POLL_ADDRE,CITY,ZIP_CODE,CONG_DIST,COUNCIL_DIST,GOOGLINK,GlobalID,ShapeSTArea,ShapeSTLength
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:13+00,2112,15,THURMONT,15-001,04,Thurmont Middle School,School,408 East Main Street,Thurmont,21788,6,5,"https://www.google.com/maps/place/39.6204700035282,-77.4052028756546",{8D55C1A0-A81C-46E2-8BFF-DA66BEC7D5AA},401086611.653864,107198.311767477
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:01+00,2113,6,CATOCTIN,06-001,04,Wolfsville Elementary School,School,12520 Wolfsville Road,Myersville,21773,6,5,"https://www.google.com/maps/place/39.5746221906619,-77.5535617135415",{B7D2EE87-7F90-4C0A-8A24-ECEA40ADCE13},745898643.786736,113439.516760948
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:28+00,2114,17,JOHNSVILLE,17-001,04,Johnsville United Methodist Church,Church,11106 Green Valley Road,Union Bridge,21791,6,5,"https://www.google.com/maps/place/39.5400449134389,-77.2318906818529",{3D418511-1035-44D9-B69F-D68D8CD48EA2},753853205.221645,143675.16574844
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:29+00,2115,16,JACKSON,16-001,04,Myersville Elementary School,School,429 Main Street,Myersville,21773,6,5,"https://www.google.com/maps/place/39.5093491367269,-77.5654082447306",{D50921B4-4113-421A-B703-5F2816712389},632522045.425269,110605.949355162
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:04+00,2116,8,LIBERTY,08-001,04,Liberty Elementary School,School,11820 Liberty Road,Libertytown,21762,6,5,"https://www.google.com/maps/place/39.4843501576087,-77.2531167235781",{4AD79EF8-1F5A-407D-A580-0D6211298FCC},628218197.61471,108478.039885442
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:55+00,2117,19,LINGANORE,19-001,04,Linganore Grange,Community Center,13629 Unionville Road,Mount Airy,21771,6,5,"https://www.google.com/maps/place/39.4758400811021,-77.1886854550094",{AB60A10E-150B-4D0A-8B27-3A8C4C43C25A},485412679.072421,107221.41159036
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:23+00,2118,3,MIDDLETOWN,03-001,04,Middletown Primary School,School,100 Martha Mason Street,Middletown,21769,6,1,"https://www.google.com/maps/place/39.4435946945714,-77.5360143335317",{B35C807E-DE1C-4106-AC23-5C3C7DD34BF0},455015154.419424,108270.759268083
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:24+00,2119,3,MIDDLETOWN,03-002,04,Middletown Elementary School,School,201 East Green Street,Middletown,21769,6,1,"https://www.google.com/maps/place/39.4441432083181,-77.5381790139431",{074A9E24-E9BD-4FE0-9884-F3FCD21BF108},367859805.951341,96609.7289315292
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:17+00,2120,18,WOODVILLE,18-002,04,Damascus Road Church,Church,12826 Old National Pike,Mount Airy,21771,6,2,"https://www.google.com/maps/place/39.3730935433202, -77.21752901853996

",{7C75BFE5-DD08-48AC-B11E-96FA91E1FB4C},677417724.42181,139288.508792672
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:20+00,2121,22,BURKITTSVILLE,22-001,04,Burkittsville Community Center,Community Center,500 East Main Street,Burkittsville,21718,6,1,"https://www.google.com/maps/place/39.3886526677137,-77.6246855639889",{893D87A4-5324-47C2-B94F-449849B2C784},492579940.055691,117073.219435003
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:11+00,2122,9,NEW MARKET,09-007,04,Deer Crossing Elementary School,School,10601 Finn Drive,New Market,21774,6,2,"https://www.google.com/maps/place/39.4033574620115,-77.2920397133994",{CF4E24E2-805A-48AE-9EB3-D7D3F0786DB0},197064527.476632,89156.6467712805
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:49+00,2123,14,JEFFERSON,14-001,04,Jefferson Ruritan Community Center,Community Center,4603B Lander Road,Jefferson,21755,6,1,"https://www.google.com/maps/place/39.3611247215221,-77.5309636717709",{D229650A-D4EA-450A-BB9A-4D1DBE0E0D02},688969398.153238,167549.341318577
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:25+00,2124,9,NEW MARKET,09-001,04,New Market Middle School,School,125 West Main Street,New Market,21774,6,2,"https://www.google.com/maps/place/39.3847848569542,-77.2763470921038",{302DB7F2-D4FD-47CA-B9C5-5F7313E5A02C},165435017.717041,79339.5222404784
